run,S,H,D,head_start,heads_processed,layout,samples,median_us,q1_us,q3_us,time_over_hsd
Run1,128,1,64,0,1,DSH,10,4.540115356445,4.4982833862275,4.556401550295,1.841667304815859
Run1,128,1,64,0,1,HSD,10,2.46522015381,2.455689727785,2.47582876587,1.0
Run1,128,1,64,0,1,SHD,10,2.455825805665,2.4535928955074997,2.473252593995,0.996189245763515
Run1,128,1,128,0,1,DSH,10,11.83534765625,11.820404052749998,11.8397672119,1.7173124562721058
Run1,128,1,128,0,1,HSD,10,6.8917846679700006,6.8738200073249995,6.9088211059525,1.0
Run1,128,1,128,0,1,SHD,10,6.89303076172,6.8725738525399995,6.902496459962499,1.00018080857282
Run1,128,8,64,4,1,DSH,10,5.305409667965,5.299919128417501,5.3293151245125,2.1654558551963
Run1,128,8,64,4,1,HSD,10,2.45001977539,2.44838079834,2.45254519653,1.0
Run1,128,8,64,4,1,SHD,10,2.46080523682,2.45912036133,2.4635620727525,1.00440219362241
Run1,128,8,128,4,1,DSH,10,14.377156738250001,14.310180664025,14.500381347700001,2.083022782346627
Run1,128,8,128,4,1,HSD,10,6.90206408691,6.890546142580001,6.910039367675,1.0
Run1,128,8,128,4,1,SHD,10,6.93397009277,6.9253185424799995,6.945490478512499,1.0046226759789887
Run1,128,32,64,16,1,DSH,10,6.07494091797,6.0339152832075,6.123418212895,2.4701172806343914
Run1,128,32,64,16,1,HSD,10,2.459373474125,2.4529609375,2.47343319702,1.0
Run1,128,32,64,16,1,SHD,10,2.5932057495149996,2.5749256897,2.6238797302275003,1.054417223247321
Run1,128,32,128,16,1,DSH,10,13.8208823242,13.625498535125,13.970006469725,1.9957563018580136
Run1,128,32,128,16,1,HSD,10,6.925135253905,6.910756530765001,6.931892456057501,1.0
Run1,128,32,128,16,1,SHD,10,6.95422363281,6.941899536134999,7.002273559572499,1.004200405889343
Run1,1024,1,64,0,1,DSH,10,43.108519531249996,43.026000976575,43.372720703125,2.1914122724571694
Run1,1024,1,64,0,1,HSD,10,19.6715698242,19.6365151367,19.67775488285,1.0
Run1,1024,1,64,0,1,SHD,10,19.66642285155,19.632211914050004,19.7110498047,0.9997383547578563
Run1,1024,1,128,0,1,DSH,10,118.970541016,118.788982422,119.132488281,2.1509257118404643
Run1,1024,1,128,0,1,HSD,10,55.3113203125,55.1155605469,55.4331054688,1.0
Run1,1024,1,128,0,1,SHD,10,55.409057617200006,55.264831542974996,55.524271484399996,1.0017670398057361
Run1,1024,8,64,4,1,DSH,10,53.55338574215,53.023763183599996,54.094239257824995,2.7242428659870455
Run1,1024,8,64,4,1,HSD,10,19.658080566450003,19.63922167965,19.677042968774998,1.0
Run1,1024,8,64,4,1,SHD,10,19.70383691405,19.694956298825,19.73240161135,1.002327610136978
Run1,1024,8,128,4,1,DSH,10,119.958984375,117.24886230425,122.0006513675,2.1712305081891787
Run1,1024,8,128,4,1,HSD,10,55.2493085937,55.169454589850005,55.626769042975,1.0
