layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
HSD,128,1,64,0,1,0,8192,2459.29968262,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,0,8192,2451.24816895,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,0,8192,4463.25170898,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,1,8192,2650.34997559,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,1,8192,2454.51855469,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,1,8192,7611.36877441,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,2,8192,4474.62463379,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,2,8192,2458.29260254,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,2,8192,2474.08044434,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,3,8192,4515.01977539,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,3,8192,2465.52526855,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,3,8192,2484.54797363,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,4,8192,4579.55932617,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,4,8192,2464.49279785,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,4,8192,2489.44592285,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,5,8192,4488.01672363,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,5,8192,2462.82958984,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,5,8192,2472.74279785,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,6,8192,2513.76843262,1.18690657303e-06,0,repeated_buffer
HSD,128,1,64,0,1,6,8192,2452.35192871,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,6,8192,4554.84521484,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,7,8192,2466.27307129,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,7,8192,4522.61853027,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,7,8192,2465.80505371,1.18690657303e-06,0,repeated_buffer
HSD,128,1,64,0,1,8,8192,2471.75085449,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,8,8192,2452.33154297,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,8,8192,4472.63085938,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,9,8192,2467.62084961,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,9,8192,4563.29345703,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,9,8192,2476.03857422,1.18690657303e-06,0,repeated_buffer
DSH,128,1,128,0,1,0,2048,11854.4511719,4.95787844557e-06,0,repeated_buffer
