layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
HSD,128,1,64,0,1,0,8192,4533.94067383,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,0,4096,4539.30664062,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,0,8192,4527.74560547,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,1,8192,4484.79211426,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,1,4096,4538.54370117,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,1,8192,4520.75708008,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,2,8192,4680.62329102,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,2,8192,4495.89538574,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,2,4096,4520.69091797,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,3,8192,4481.09936523,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,3,8192,4545.97473145,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,3,4096,4529.05273438,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,4,8192,4496.77526855,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,4,8192,4478.96325684,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,4,4096,4487.41674805,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,5,8192,4531.86547852,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,5,8192,4484.61401367,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,5,4096,4518.39208984,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,6,4096,4539.30664062,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,6,8192,4466.08483887,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,6,8192,4535.75134277,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,7,8192,4562.55090332,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,7,8192,4487.84387207,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,7,4096,4540.52734375,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,8,8192,4534.33227539,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,8,4096,4462.05639648,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,8,8192,4526.15869141,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,9,8192,4545.86791992,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,9,8192,4465.85595703,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,9,4096,4505.18798828,1.1292546418e-06,0,repeated_buffer
DSH,128,1,128,0,1,0,2048,11827.9824219,4.95787844557e-06,0,repeated_buffer
HSD,128,1,128,0,1,0,2048,11841.3291016,4.95787844557e-06,0,repeated_buffer
SHD,128,1,128,0,1,0,2048,11846.2319336,4.95787844557e-06,0,repeated_buffer
HSD,128,1,128,0,1,1,2048,11851.1352539,4.95787844557e-06,0,repeated_buffer
DSH,128,1,128,0,1,1,2048,11824.4423828,4.95787844557e-06,0,repeated_buffer
SHD,128,1,128,0,1,1,2048,11841.4716797,4.95787844557e-06,0,repeated_buffer
DSH,128,1,128,0,1,2,2048,11830.4038086,4.95787844557e-06,0,repeated_buffer
