H,D,head_start,heads_processed,S,layout,samples,median_us,q1_us,q3_us
1,64,0,1,128,DSH,10,4.540115356445,4.4982833862275,4.556401550295
1,64,0,1,128,HSD,10,2.46522015381,2.455689727785,2.47582876587
1,64,0,1,128,SHD,10,2.455825805665,2.4535928955074997,2.473252593995
1,64,0,1,1024,DSH,10,43.108519531249996,43.026000976575,43.372720703125
1,64,0,1,1024,HSD,10,19.6715698242,19.6365151367,19.67775488285
1,64,0,1,1024,SHD,10,19.66642285155,19.632211914050004,19.7110498047
1,64,0,1,8192,DSH,10,674.240875,673.11621875,674.815109375
1,64,0,1,8192,HSD,10,157.3909492185,157.24853515625,157.94694140625
1,64,0,1,8192,SHD,10,157.426105469,157.277101563,157.68033789100002
1,64,0,1,32768,DSH,10,2005.1953125,1997.59053125,2037.4759375
1,64,0,1,32768,HSD,10,639.963546875,638.8561171875,640.584328125
1,64,0,1,32768,SHD,10,639.58071875,637.6894453125,643.143890625
1,128,0,1,128,DSH,10,11.83534765625,11.820404052749998,11.8397672119
1,128,0,1,128,HSD,10,6.8917846679700006,6.8738200073249995,6.9088211059525
1,128,0,1,128,SHD,10,6.89303076172,6.8725738525399995,6.902496459962499
1,128,0,1,1024,DSH,10,118.970541016,118.788982422,119.132488281
1,128,0,1,1024,HSD,10,55.3113203125,55.1155605469,55.4331054688
1,128,0,1,1024,SHD,10,55.409057617200006,55.264831542974996,55.524271484399996
1,128,0,1,8192,DSH,10,975.60221875,969.787125,981.89290625
1,128,0,1,8192,HSD,10,442.7867890625,441.64761328125,443.57795703125
1,128,0,1,8192,SHD,10,444.1979140625,443.0410234375,444.703609375
1,128,0,1,32768,DSH,10,4636.21875,4628.1536875,4654.1419375000005
1,128,0,1,32768,HSD,10,1795.8905937499999,1786.660171875,1801.067703125
1,128,0,1,32768,SHD,10,1793.51690625,1788.8665156250001,1803.72396875
8,64,4,1,128,DSH,10,5.305409667965,5.299919128417501,5.3293151245125
8,64,4,1,128,HSD,10,2.45001977539,2.44838079834,2.45254519653
8,64,4,1,128,SHD,10,2.46080523682,2.45912036133,2.4635620727525
8,64,4,1,1024,DSH,10,53.55338574215,53.023763183599996,54.094239257824995
8,64,4,1,1024,HSD,10,19.658080566450003,19.63922167965,19.677042968774998
8,64,4,1,1024,SHD,10,19.70383691405,19.694956298825,19.73240161135
8,64,4,1,8192,DSH,10,746.778,739.959640625,753.4804765625
8,64,4,1,8192,HSD,10,157.6181640625,157.2720546875,159.39843945325
8,64,4,1,8192,SHD,10,161.2008476565,160.752441406,161.7543124995
8,64,4,1,32768,DSH,10,5747.0,5702.7890625,5776.20825
8,64,4,1,32768,HSD,10,638.9173125,637.9921875,642.6428984375
8,64,4,1,32768,SHD,10,677.338546875,676.6123046875,679.094734375
8,128,4,1,128,DSH,10,14.377156738250001,14.310180664025,14.500381347700001
8,128,4,1,128,HSD,10,6.90206408691,6.890546142580001,6.910039367675
8,128,4,1,128,SHD,10,6.93397009277,6.9253185424799995,6.945490478512499
8,128,4,1,1024,DSH,10,119.958984375,117.24886230425,122.0006513675
8,128,4,1,1024,HSD,10,55.2493085937,55.169454589850005,55.626769042975
8,128,4,1,1024,SHD,10,55.6511640625,55.515015136725005,55.73870800785
8,128,4,1,8192,DSH,10,2207.78125,2174.055359375,2359.40428125
8,128,4,1,8192,HSD,10,443.2643203125,442.54996875,444.37939453125
8,128,4,1,8192,SHD,10,466.7233125,462.73111328125003,470.80225
8,128,4,1,32768,DSH,10,15942.75,15912.359125,16086.2345
8,128,4,1,32768,HSD,10,1787.24478125,1784.787140625,1790.0208125
8,128,4,1,32768,SHD,10,2428.9075625,2409.184234375,2459.9641874999998
32,64,16,1,128,DSH,10,6.07494091797,6.0339152832075,6.123418212895
32,64,16,1,128,HSD,10,2.459373474125,2.4529609375,2.47343319702
32,64,16,1,128,SHD,10,2.5932057495149996,2.5749256897,2.6238797302275003
32,64,16,1,1024,DSH,10,80.57901953125,79.281575195325,82.24878124995001
32,64,16,1,1024,HSD,10,19.78564453125,19.71642089845,19.936218505825
32,64,16,1,1024,SHD,10,21.051310058600002,20.9388330078,21.276072753900003
32,64,16,1,8192,DSH,10,2304.33334375,2266.09959375,2315.1608125000002
32,64,16,1,8192,HSD,10,157.498371094,157.19474609374998,157.73738476600002
32,64,16,1,8192,SHD,10,168.016273437,167.54174609400002,168.22965429725
32,64,16,1,32768,DSH,10,8235.104125,8035.809875,9644.802062499999
32,64,16,1,32768,HSD,10,643.58528125,640.0205234375,660.6839140625
32,64,16,1,32768,SHD,10,698.028640625,693.61425,716.6103671875
32,128,16,1,128,DSH,10,13.8208823242,13.625498535125,13.970006469725
32,128,16,1,128,HSD,10,6.925135253905,6.910756530765001,6.931892456057501
32,128,16,1,128,SHD,10,6.95422363281,6.941899536134999,7.002273559572499
32,128,16,1,1024,DSH,10,375.8317109375,365.5102578125,384.4116171875
32,128,16,1,1024,HSD,10,55.43212890625,55.344359375,55.60618164065
32,128,16,1,1024,SHD,10,74.46557617185,74.27722167972499,75.102704101525
32,128,16,1,8192,DSH,10,4348.61975,4323.8072812499995,4373.962187499999
32,128,16,1,8192,HSD,10,442.7086640625,440.80746093749997,443.63996875
32,128,16,1,8192,SHD,10,659.353515625,629.91503125,701.4716796875
32,128,16,1,32768,DSH,10,17561.302,17462.58325,19564.5415
32,128,16,1,32768,HSD,10,1806.21875,1796.67903125,1809.0299375
32,128,16,1,32768,SHD,10,4801.4375,4626.92321875,4964.223906249999
