layout,S,H,D,head_start,heads_processed,trial,iterations,ns_per_call,max_abs_error,seed,cache_mode
HSD,128,1,64,0,1,0,8192,2624.2980957,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,0,8192,2496.91772461,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,0,8192,4558.43603516,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,1,8192,2461.84289551,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,1,8192,2455.4798584,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,1,8192,4467.03588867,1.1292546418e-06,0,repeated_buffer
DSH,128,1,64,0,1,2,8192,4509.97924805,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,2,8192,2453.58276367,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,2,8192,2451.91955566,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,3,8192,4531.14318848,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,3,8192,2496.47521973,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,3,8192,2549.00109863,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,4,8192,4730.99768066,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,4,8192,2455.26123047,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,4,8192,2456.17175293,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,5,8192,4491.27197266,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,5,8192,2456.97521973,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,5,8192,2456.8684082,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,6,8192,2478.71398926,1.18690657303e-06,0,repeated_buffer
HSD,128,1,64,0,1,6,8192,2468.59741211,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,6,8192,4494.38476562,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,7,8192,2478.00695801,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,7,8192,4561.97607422,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,7,8192,2454.18798828,1.18690657303e-06,0,repeated_buffer
HSD,128,1,64,0,1,8,8192,2450.62768555,1.18690657303e-06,0,repeated_buffer
SHD,128,1,64,0,1,8,8192,2453.39453125,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,8,8192,4550.2980957,1.1292546418e-06,0,repeated_buffer
HSD,128,1,64,0,1,9,8192,2469.29418945,1.18690657303e-06,0,repeated_buffer
DSH,128,1,64,0,1,9,8192,4549.08752441,1.1292546418e-06,0,repeated_buffer
SHD,128,1,64,0,1,9,8192,2452.47900391,1.18690657303e-06,0,repeated_buffer
DSH,128,1,128,0,1,0,2048,11831.1157227,4.95787844557e-06,0,repeated_buffer
HSD,128,1,128,0,1,0,4096,6881.03222656,4.00420412916e-06,0,repeated_buffer
SHD,128,1,128,0,1,0,4096,6868.19458008,4.00420412916e-06,0,repeated_buffer
HSD,128,1,128,0,1,1,4096,7239.94970703,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,1,2048,11837.6669922,4.95787844557e-06,0,repeated_buffer
SHD,128,1,128,0,1,1,4096,6892.39501953,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,2,2048,12054.5854492,4.95787844557e-06,0,repeated_buffer
SHD,128,1,128,0,1,2,4096,7244.26269531,4.00420412916e-06,0,repeated_buffer
HSD,128,1,128,0,1,2,4096,6873.41308594,4.00420412916e-06,0,repeated_buffer
SHD,128,1,128,0,1,3,4096,6906.11791992,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,3,2048,11816.6503906,4.95787844557e-06,0,repeated_buffer
HSD,128,1,128,0,1,3,4096,6902.53710938,4.00420412916e-06,0,repeated_buffer
HSD,128,1,128,0,1,4,4096,6909.42382812,4.00420412916e-06,0,repeated_buffer
SHD,128,1,128,0,1,4,4096,6893.66650391,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,4,2048,11840.2910156,4.95787844557e-06,0,repeated_buffer
SHD,128,1,128,0,1,5,4096,6863.70849609,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,5,2048,11838.1958008,4.95787844557e-06,0,repeated_buffer
HSD,128,1,128,0,1,5,4096,6920.83740234,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,6,2048,11814.0869141,4.95787844557e-06,0,repeated_buffer
SHD,128,1,128,0,1,6,4096,6885.71166992,4.00420412916e-06,0,repeated_buffer
HSD,128,1,128,0,1,6,4096,6871.37841797,4.00420412916e-06,0,repeated_buffer
HSD,128,1,128,0,1,7,4096,6875.04077148,4.00420412916e-06,0,repeated_buffer
SHD,128,1,128,0,1,7,4096,6903.43237305,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,7,2048,11848.0634766,4.95787844557e-06,0,repeated_buffer
DSH,128,1,128,0,1,8,2048,11816.8334961,4.95787844557e-06,0,repeated_buffer
HSD,128,1,128,0,1,8,4096,6907.01293945,4.00420412916e-06,0,repeated_buffer
SHD,128,1,128,0,1,8,4096,6848.83642578,4.00420412916e-06,0,repeated_buffer
SHD,128,1,128,0,1,9,4096,6899.6887207,4.00420412916e-06,0,repeated_buffer
HSD,128,1,128,0,1,9,4096,6861.08398438,4.00420412916e-06,0,repeated_buffer
DSH,128,1,128,0,1,9,2048,11833.0283203,4.95787844557e-06,0,repeated_buffer
DSH,128,8,64,4,1,0,4096,5307.65771484,1.38940352201e-06,0,repeated_buffer
SHD,128,8,64,4,1,0,8192,2461.6394043,1.3436449251e-06,0,repeated_buffer
HSD,128,8,64,4,1,0,8192,2451.29394531,1.3436449251e-06,0,repeated_buffer
SHD,128,8,64,4,1,1,8192,2459.19287109,1.3436449251e-06,0,repeated_buffer
DSH,128,8,64,4,1,1,4096,5299.46899414,1.38940352201e-06,0,repeated_buffer
HSD,128,8,64,4,1,1,8192,2452.96228027,1.3436449251e-06,0,repeated_buffer
